Zipcode,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Alcoholic beverages,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Education,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Reading,Basic Variables Current Year Estimates (2020) Total Households,Housing Units Current Year Estimates (2020) Housing Value Median Housing Value,Basic Variables Current Year Estimates (2020) School Enrollment (Pop 3+) Total Total Population 3+,Basic Variables Current Year Estimates (2020) Income Household Median Household Income,Basic Variables Current Year Estimates (2020) Population Density
30122,644.63,1208.45,74.04,9994,162236,25177,50845,1037.9
30124,578.49,1334.34,86.93,1297,143880,3165,51530,52.31
30125,575.85,1203.43,79.45,8940,124538,23917,44546,141.48
30126,824.02,1669.51,91.33,14054,255241,35993,82580,1861.41
30127,804.93,2020.2,96.14,22680,213307,65931,80611,1300.49
30132,807.78,1842.65,97.95,15040,211766,40852,74264,382.33
30134,656.44,1437.25,79.3,15423,160237,43630,56563,905.73
30135,837.94,1884.63,97.45,23123,193217,65421,74372,788.14
30137,804.05,1853.97,101.23,613,193116,1757,63093,461.14
30139,595.84,1346.4,87.53,1590,147501,3835,50446,54.52
30141,759.56,1720.79,90.81,8901,171736,24496,65403,909.47
30143,716,1527.94,106.28,9574,230161,23247,66723,174.97
30144,743.07,1524.71,84.65,21222,212359,55522,70644,2525.13
30145,811.25,1985.23,101.39,2933,174668,8353,67722,113.14
30147,582.55,1292.04,83.32,1801,129093,4453,48581,169.58
30148,733.52,1666.76,107.6,447,233891,1097,69828,61.63
30149,390.41,597.28,52.51,33,500000,1409,38191,989.47
30152,876.72,2177.76,101.65,15996,301577,43456,97374,1978.83
30153,631.77,1371.3,82.2,7336,133428,18942,49830,159.33
30157,760.34,1785.67,91.88,18310,181699,50675,66784,597.42
30161,533.44,1084.82,75.3,13856,137004,34434,43248,250.5
30165,569.62,1142.65,76.04,15395,138184,39323,46527,231.1
30168,596.79,1114.97,63.99,10209,137523,26831,49598,2278.62
30170,668.98,1455.5,91.5,1208,130757,3253,51779,73.57
30171,774.58,1770.67,99.92,1037,171651,2825,63164,80.34
30173,631.4,1459.32,91.38,2385,141901,6324,57998,196.46
30175,622.55,1436.92,87.42,2528,173705,6469,53327,74.3
30176,541.26,1154.76,76.21,2814,103766,6901,42041,81.86
30177,674.43,1465.56,90.96,132,176132,297,51524,171.78
30178,781.1,1991.86,100.63,1344,187691,3722,62404,87.16
30179,699.2,1511.03,85.04,6276,135220,17614,54750,252.55
30180,758.04,1603.27,91.02,13818,166856,37108,62370,471.26
30182,615.2,1336.01,78.58,1003,108480,2668,45998,82.24
30183,707.85,1493.25,103.49,2260,301821,6266,73685,97.95
30184,827.82,1948.93,105.43,2894,194628,7893,72069,97.19
30185,751.18,1787.43,95.73,1579,148291,4174,57484,66.74
30187,801.71,1884.94,102.21,2893,215381,8668,73316,295.91
30188,830.32,1822.57,97.62,25080,251795,64537,83548,1490.04
30189,859.25,2118.84,100.85,14312,261939,39875,94495,1930.14
30204,501.02,985.1,71.41,5138,118194,13827,39340,107.42
30205,787.02,2017.39,99.06,1198,290680,3311,72464,91.18
30206,562.73,1199.54,81.11,1040,149102,2943,57576,62.83
30213,703.81,1352.19,79.55,14755,167604,38184,60955,639.87
30214,742.22,1456.2,95.36,11280,257376,29976,78175,584.1
30215,841.05,2038.6,102.74,12604,287186,35759,91267,502.35
30216,625.21,1328.07,94.36,786,136209,2120,48786,51.7
30217,557.86,1221.21,78.01,3656,98435,9542,44090,37.24
30218,702.72,1507.68,97.66,710,122748,1847,49036,28.61
30220,684.14,1393.48,85.3,1956,149834,5357,60630,112.91
30222,588.11,1292.35,82.29,1706,104572,4167,39552,26.56
30223,600.88,1264.02,79.7,14056,112496,37116,41888,350.96
30224,704.58,1547.62,89.86,9691,145404,25133,52615,381.4
30228,765.15,1612.96,90.31,15285,171738,44237,65251,600.52
30230,618.32,1325.95,79.94,3576,131241,9110,40542,73.32
30233,626.76,1355.76,84.77,8306,154793,24160,52345,166.37
30234,643.05,1412.51,81.94,757,149240,2006,51051,184.52
30236,700.52,1408.11,84.15,16760,135487,43651,47618,1451.4
30238,674.73,1394.23,79.98,12895,103970,39617,46501,2238.49
30240,724.53,1616.65,93.3,11414,167552,29291,51052,186.32
30241,596.72,1334.27,78.29,8864,135925,24043,41387,228.58
30248,767.29,1613.86,91.42,9229,191060,26841,71569,389.73
30251,668.61,1449.14,85.12,796,110355,2120,39877,71.53
30252,808.04,1854.91,99.53,15601,239805,45040,81333,517.64
30253,708.54,1451.82,83.46,20105,209216,55487,67812,1173.86
30256,615.77,1264.56,89.16,1033,134398,2786,62890,88.81
30257,591.77,1249.52,84.25,1681,140229,4254,48693,93.3
30258,594.14,1257.77,84.07,993,137945,2693,55766,51.81
30259,697.4,1547.13,90.47,1279,222446,3457,64928,101.91
30260,580.83,1109.92,74.45,9832,99358,26552,42065,2218.12
30263,699.52,1447.54,83.57,22802,221315,59331,64116,303.27
30265,868.95,1925.94,100.17,13435,243705,35340,86190,810.74
30268,683.41,1434.25,87.76,4102,183203,10755,62510,159.4
30269,856.74,1954.07,102.08,13980,328993,36966,103005,1412.72
30272,605.73,999.03,69.46,44,147300,108,53830,760.15
30273,742.67,1619.68,86.75,6594,121059,18100,53626,2706.21
30274,592.87,1235.79,68.62,12071,91863,32342,38901,3356.57
30276,792.72,1813.73,95.35,6069,243966,16596,75748,177.57
30277,894.57,2271.81,109.09,8071,261627,22735,91752,509.76
30281,704.04,1453.81,82.47,27251,194575,71471,63987,1009.33
30285,626.62,1274.75,87.99,298,124629,797,55679,48.39
30286,473.84,955.23,68.88,8982,96908,21730,40234,114.35
30288,696.27,1338.52,80.25,3320,124974,9601,52421,1515.47
30290,856.44,1911.67,101.78,3134,335099,8851,102320,503.48
30291,549.28,1023.8,62.87,9518,127771,23504,45594,2368.07
30292,665.5,1494.27,90.29,2161,165123,6280,63093,101.08
30293,494.59,1061.41,75.38,1137,91864,2667,34591,37.05
30294,761.81,1649.61,88.66,14050,156827,39952,62923,1326.28
30295,605.5,1306.32,81.3,1641,160795,4367,62468,102.07
30296,695.27,1424.18,81.66,9266,124187,26302,49438,2406.83
30297,472.7,905.02,58.49,9964,86679,28979,31785,2259.74
30303,689.59,1055.47,71.63,1392,253773,4210,68761,4215.4
30305,881.56,1561.56,103.98,14429,588999,26223,102136,4143.29
30306,1017.74,1950.92,103.85,12333,547531,23712,111733,5191.37
30307,965.5,1898.17,99.84,10215,455822,20153,100452,4626.52
30308,834.65,1261.75,79.45,12501,377613,21578,78709,13139.94
30309,940.2,1531.33,93.88,15758,404941,24680,92752,7567.23
30310,399.27,726.72,53.03,11373,120913,28661,29472,3406.8
30311,451.64,778.97,63.21,14234,153520,33510,35710,2804.49
30312,710.83,1201.39,72.01,11319,321168,21454,61428,6792.24
30313,553.93,952.75,54.97,2421,346135,10171,38161,10820.45
30314,378.2,663.99,49.03,6863,97727,21033,27431,4798.8
30315,455.1,805.04,55.26,12490,134869,35003,32515,3160.8
30316,678.8,1189.55,79.86,14699,209203,33162,55087,2764.56
30317,713.27,1156.51,79.1,5814,275654,12426,58452,3694.94
30318,619.54,1033.01,67.82,24500,268402,60797,52837,3062.24
30319,948.93,1752.3,101.22,20987,442992,44679,98765,4413.09
30320,0,0,0,0,,0,,0
30322,280.88,464,54.13,15,229561,2011,28716,4424.26
30324,857.05,1336.04,83.21,16610,383013,29945,74879,5864.96
30326,908.41,1439.84,98.95,5065,524822,7443,112042,10183.65
30327,966.81,2332.47,123.65,9765,783706,23272,156688,1320.46
30328,887.53,1678.96,105.11,17018,428581,35192,92738,2770.18
30329,724.89,1183.8,75.12,12009,329179,25744,58829,5294.18
30331,603.89,1100.56,77.21,24727,181081,59026,51969,1566.44
30332,379.8,700.55,43.46,15,400000,161,38068,2545.79
30334,0,0,0,0,,0,,0
30336,634.61,1240.05,78.88,571,252895,1263,55284,124.68
30337,507.79,979.06,58.42,5571,181276,12742,38652,1577.03
30338,948.39,1943.73,114.44,15652,408809,35361,103077,3681.37
30339,860.19,1274.4,86.55,16506,363773,28317,78396,2954.53
30340,619.72,1238.43,69.72,11336,197874,30578,46883,3832.45
30341,792.41,1472.49,86.06,14084,281114,33675,66820,3431.8
30342,899.06,1749.7,97.13,14249,538284,33174,95332,3825.89
30344,535.26,1029.75,65.16,14079,128243,33628,43377,2740.09
30345,871.26,1820.18,96.98,10126,345523,23266,83861,3338.19
30346,947.13,1408.46,92.51,2971,409395,4007,88338,4611.04
30349,656.31,1235.79,72.94,29693,154244,75531,51363,1732.8
30350,792.83,1518.7,86.68,17362,490893,36051,69099,2830.65
30354,405.6,762.4,52.89,6142,104954,15647,33561,1512.02
30360,773.48,1585.26,88.61,5849,295229,15627,66271,2802.03
30363,708.59,964.72,66.8,2380,395668,3657,74838,16939.91
30501,590.94,1140.15,70.41,10363,206091,29313,46432,1274.86
30504,658.39,1317.32,76,8679,179005,25038,53159,1216.35
30506,793.3,1804.48,101.29,17711,277156,46239,78792,381.82
30507,667.14,1520.25,81.47,9216,155258,30503,55895,450.51
30510,574.36,1344.46,78.57,2550,140634,8836,46593,200.67
30511,615.81,1254.23,85.61,1490,156057,3983,49475,124.5
30512,554.94,1062.99,91.55,9356,241438,21582,48543,99.09
30513,541.75,1084.69,86.82,5730,212668,12130,45763,85.96
30517,861.74,2035.56,105.38,5538,261465,15685,82885,602.8
30518,762.2,1712.57,92.89,18261,266556,49991,74163,1106.31
30519,830.22,1941.13,99.67,16576,275106,48466,81878,1445.86
30521,542,1258.51,81.28,1899,140232,4946,46572,53.29
30522,600.64,1211.62,104.7,533,231244,1123,55140,25.13
30523,622.46,1301.17,97.07,5533,188642,13202,56168,82.66
30525,481.38,1034.79,80.63,3404,154684,8390,42303,38.17
30527,773.65,1967.45,102.52,1708,263647,4610,73358,182.88
30528,653.38,1428.02,88.94,9769,202380,24916,52465,157.84
30529,638.24,1311.5,79.4,4592,172154,11865,54673,223.6
30530,609.78,1316.87,84.22,2498,157165,6776,51701,92.23
30531,550.18,1065.28,78.75,4035,160997,11055,46733,311.94
30533,670.06,1482.95,90.45,10066,223437,27170,59329,115.66
30534,755.19,1769.63,97.53,10909,231635,28384,65687,133.76
30535,606.91,1240.37,91.38,2811,167529,7322,53891,254.68
30536,590.91,1211.55,92.38,3725,206112,8880,51243,57.54
30537,615.05,1309.85,99.11,721,180622,1237,57313,130.33
30540,559.63,1178.98,84.86,7530,172088,18444,46986,97.65
30541,613.17,1189.04,94.87,772,184693,1911,54004,23.78
30542,855.82,2205.27,102.94,13315,233393,36265,79482,745.33
30543,682.06,1559.62,87.65,1627,155516,4778,56851,132.11
30545,673.98,1491.92,98.46,542,265969,983,58350,22.74
30546,543.67,1032.67,91.17,3252,226012,6964,45797,51.95
30547,676.07,1458.27,89.77,1171,130084,3044,52609,61.54
30548,866.55,2102.29,111.33,6997,277028,19949,85655,515.14
30549,775.8,1786.51,94.88,9627,231348,25524,72435,251.89
30552,529.38,1046.11,96.39,814,181795,1839,50864,35.42
30554,669.62,1461.31,89.58,3483,150725,8989,56609,129.96
30555,500.05,951.52,81.93,1015,172487,2233,43746,141.78
